WEEK,GEAR,SPECIES,WEIGHT,START,DFOWEEKNUM,YEAR,MONTH
033 MAR 17 - MAR 23,Gillnet,Coho,13,3/17/1996,33,1996,3
033 MAR 17 - MAR 23,Gillnet,Sockeye,122,3/17/1996,33,1996,3
033 MAR 18 - MAR 24,Troll,Chinook,407,3/18/2001,33,2001,3
033 MAR 16 - MAR 22,Troll,Chinook,269,3/16/2003,33,2003,3
033 MAR 14 - MAR 20,Troll,Chinook,8386,3/14/2004,33,2004,3
033 MAR 13 - MAR 19,Troll,Chinook,26885,3/13/2005,33,2005,3
033 MAR 13 - MAR 19,Troll,Chum,6,3/13/2005,33,2005,3
033 MAR 19 - MAR 25,Troll,Chinook,7618,3/19/2006,33,2006,3
033 MAR 18 - MAR 24,Troll,Chinook,2489,3/18/2007,33,2007,3
033 Mar 15 - Mar 21,Troll,Chinook,78,3/15/2009,33,2009,3
033 MAR 13 - MAR 19,Troll,Chinook,300,3/13/2011,33,2011,3
034 MAR 25 - MAR 31,Troll,Chinook,132,3/25/2001,34,2001,3
034 MAR 24 - MAR 30,Troll,Chinook,246,3/24/2002,34,2002,3
034 MAR 23 - MAR 29,Troll,Chinook,872,3/23/2003,34,2003,3
034 MAR 23 - MAR 29,Gillnet,Sockeye,1124,3/23/2003,34,2003,3
034 MAR 21 - MAR 27,Troll,Chinook,24251,3/21/2004,34,2004,3
034 MAR 20 - MAR 26,Troll,Chinook,29467,3/20/2005,34,2005,3
034 MAR 20 - MAR 26,Troll,Chum,10,3/20/2005,34,2005,3
034 MAR 26 - APR 01,Troll,Chinook,15499,3/26/2006,34,2006,3
034 MAR 25 - MAR 31,Troll,Chinook,4060,3/25/2007,34,2007,3
041 MAR 31 - APR 06,Gillnet,Chinook,15,3/31/1996,41,1996,3
041 MAR 30 - APR 05,Gillnet,Chinook,46,3/30/1997,41,1997,3
041 MAR 28 - APR 03,Gillnet,Chinook,15,3/28/1999,41,1999,3
041 APR 01 - APR 07,Troll,Chinook,4551,4/1/2001,41,2001,4
041 MAR 31 - APR 06,Troll,Chinook,135,3/31/2002,41,2002,3
041 MAR 30 - APR 05,Troll,Chinook,681,3/30/2003,41,2003,3
041 MAR 28 - APR 03,Troll,Chinook,14658,3/28/2004,41,2004,3
041 MAR 28 - APR 03,Troll,Chum,6,3/28/2004,41,2004,3
041 MAR 27 - APR 02,Troll,Chinook,16658,3/27/2005,41,2005,3
041 APR 02 - APR 08,Troll,Chinook,11171,4/2/2006,41,2006,4
041 APR 01 - APR 07,Troll,Chinook,992,4/1/2007,41,2007,4
041 Mar 29 - Apr 04,Gillnet,Chinook,22,3/29/2009,41,2009,3
042 APR 07 - APR 13,Gillnet,Chinook,49,4/7/1996,42,1996,4
042 APR 06 - APR 12,Gillnet,Chinook,195,4/6/1997,42,1997,4
042 APR 02 - APR 08,Troll,Chinook,798,4/2/2000,42,2000,4
042 APR 08 - APR 14,Troll,Chinook,2805,4/8/2001,42,2001,4
042 APR 07 - APR 13,Troll,Chinook,1266,4/7/2002,42,2002,4
042 APR 06 - APR 12,Troll,Chinook,5091,4/6/2003,42,2003,4
042 APR 04 - APR 10,Troll,Chinook,55626,4/4/2004,42,2004,4
042 APR 04 - APR 10,Troll,Chum,505,4/4/2004,42,2004,4
042 APR 03 - APR 09,Troll,Chinook,19035,4/3/2005,42,2005,4
042 APR 09 - APR 15,Troll,Chinook,30358,4/9/2006,42,2006,4
042 APR 09 - APR 15,Troll,Chum,3,4/9/2006,42,2006,4
042 APR 08 - APR 14,Troll,Chinook,2271,4/8/2007,42,2007,4
042 Apr 05 - Apr 11,Gillnet,Chinook,26,4/5/2009,42,2009,4
042 APR 04 - APR 10,Gillnet,Chinook,103,4/4/2010,42,2010,4
042 APR 03 - APR 09,Gillnet,Chinook,116,4/3/2011,42,2011,4
042 APR 03 - APR 09,Gillnet,Chum,68,4/3/2011,42,2011,4
042 APR 03 - APR 09,Gillnet,Sockeye,57,4/3/2011,42,2011,4
043 APR 14 - APR 20,Gillnet,Chinook,619,4/14/1996,43,1996,4
043 APR 14 - APR 20,Gillnet,Chum,5,4/14/1996,43,1996,4
043 APR 14 - APR 20,Gillnet,Pink,11,4/14/1996,43,1996,4
043 APR 14 - APR 20,Gillnet,Sockeye,431,4/14/1996,43,1996,4
043 APR 13 - APR 19,Gillnet,Chinook,93,4/13/1997,43,1997,4
043 APR 11 - APR 17,Gillnet,Chinook,85,4/11/1999,43,1999,4
043 APR 09 - APR 15,Troll,Chinook,3174,4/9/2000,43,2000,4
043 APR 15 - APR 21,Troll,Chinook,5232,4/15/2001,43,2001,4
043 APR 14 - APR 20,Troll,Chinook,6053,4/14/2002,43,2002,4
043 APR 13 - APR 19,Troll,Chinook,27910,4/13/2003,43,2003,4
043 APR 13 - APR 19,Troll,Chum,37,4/13/2003,43,2003,4
043 APR 11 - APR 17,Troll,Chinook,26175,4/11/2004,43,2004,4
043 APR 11 - APR 17,Troll,Chum,37,4/11/2004,43,2004,4
043 APR 10 - APR 16,Troll,Chinook,40795,4/10/2005,43,2005,4
043 APR 10 - APR 16,Troll,Chum,12,4/10/2005,43,2005,4
043 APR 16 - APR 22,Troll,Chinook,5322,4/16/2006,43,2006,4
043 APR 15 - APR 21,Troll,Chinook,9104,4/15/2007,43,2007,4
043 Apr 12 - Apr 18,Gillnet,Chinook,39,4/12/2009,43,2009,4
043 APR 11 - APR 17,Gillnet,Chinook,25,4/11/2010,43,2010,4
043 APR 10 - APR 16,Gillnet,Chinook,7,4/10/2011,43,2011,4
043 APR 10 - APR 16,Gillnet,Chum,121,4/10/2011,43,2011,4
043 APR 10 - APR 16,Gillnet,Sockeye,114,4/10/2011,43,2011,4
043 APR 15 - APR 21,Troll,Chinook,143,4/15/2012,43,2012,4
044 APR 21 - APR 27,Gillnet,Chinook,54,4/21/1996,44,1996,4
044 APR 20 - APR 26,Gillnet,Chinook,63,4/20/1997,44,1997,4
044 APR 18 - APR 24,Gillnet,Chinook,60,4/18/1999,44,1999,4
044 APR 16 - APR 22,Troll,Chinook,359,4/16/2000,44,2000,4
044 APR 22 - APR 28,Troll,Chinook,2589,4/22/2001,44,2001,4
044 APR 21 - APR 26,Troll,Chinook,50998,4/21/2002,44,2002,4
044 APR 20 - APR 26,Troll,Chinook,109323,4/20/2003,44,2003,4
044 APR 20 - APR 26,Troll,Chum,954,4/20/2003,44,2003,4
044 APR 20 - APR 26,Troll,Pink,6,4/20/2003,44,2003,4
044 APR 18 - APR 24,Troll,Chinook,114551,4/18/2004,44,2004,4
044 APR 18 - APR 24,Troll,Chum,2086,4/18/2004,44,2004,4
044 APR 18 - APR 24,Troll,Pink,7,4/18/2004,44,2004,4
044 APR 17 - APR 23,Troll,Chinook,74900,4/17/2005,44,2005,4
044 APR 17 - APR 23,Troll,Chum,18,4/17/2005,44,2005,4
044 APR 23 - APR 29,Troll,Chinook,43124,4/23/2006,44,2006,4
044 APR 23 - APR 29,Troll,Chum,13,4/23/2006,44,2006,4
044 APR 22 - APR 28,Troll,Chinook,5256,4/22/2007,44,2007,4
044 APR 20 - APR 26,Troll,Chinook,5765,4/20/2008,44,2008,4
044 Apr 19 - Apr 25,Gillnet,Chinook,14,4/19/2009,44,2009,4
044 Apr 19 - Apr 25,Troll,Chinook,6624,4/19/2009,44,2009,4
044 APR 18 - APR 24,Troll,Chinook,10139,4/18/2010,44,2010,4
044 APR 18 - APR 24,Troll,Chum,9,4/18/2010,44,2010,4
044 APR 17 - APR 23,Gillnet,Chinook,59,4/17/2011,44,2011,4
044 APR 17 - APR 23,Troll,Chinook,11070,4/17/2011,44,2011,4
044 APR 17 - APR 23,Troll,Chum,20,4/17/2011,44,2011,4
044 APR 17 - APR 23,Troll,Pink,4,4/17/2011,44,2011,4
044 APR 22 - APR 28,Troll,Chinook,53425,4/22/2012,44,2012,4
044 APR 22 - APR 28,Troll,Chum,86,4/22/2012,44,2012,4
044 APR 22 - APR 28,Troll,Pink,4,4/22/2012,44,2012,4
045 APR 28 - MAY 04,Gillnet,Chinook,133,4/28/1996,45,1996,4
045 APR 27 - MAY 03,Gillnet,Chinook,8,4/27/1997,45,1997,4
045 APR 26 - MAY 02,Gillnet,Chinook,171,4/26/1998,45,1998,4
045 APR 26 - MAY 02,Troll,Chinook,506,4/26/1998,45,1998,4
045 APR 25 - MAY 01,Gillnet,Chinook,31,4/25/1999,45,1999,4
045 APR 23 - APR 29,Troll,Chinook,285,4/23/2000,45,2000,4
045 APR 29 - MAY 05,Troll,Chinook,18002,4/29/2001,45,2001,4
045 APR 28 - MAY 04,Troll,Chinook,58916,4/28/2002,45,2002,4
045 APR 27 - MAY 03,Gillnet,Chinook,1102,4/27/2003,45,2003,4
045 APR 27 - MAY 03,Troll,Chinook,111523,4/27/2003,45,2003,4
045 APR 27 - MAY 03,Troll,Chum,1432,4/27/2003,45,2003,4
045 APR 27 - MAY 03,Troll,Pink,42,4/27/2003,45,2003,4
045 APR 25 - MAY 01,Troll,Chinook,86760,4/25/2004,45,2004,4
045 APR 25 - MAY 01,Troll,Chum,346,4/25/2004,45,2004,4
045 APR 25 - MAY 01,Troll,Pink,6,4/25/2004,45,2004,4
045 APR 24 - APR 30,Troll,Chinook,58824,4/24/2005,45,2005,4
045 APR 24 - APR 30,Troll,Chum,116,4/24/2005,45,2005,4
045 APR 30 - MAY 06,Gillnet,Chinook,3105,4/30/2006,45,2006,4
045 APR 30 - MAY 06,Troll,Chinook,39216,4/30/2006,45,2006,4
045 APR 30 - MAY 06,Troll,Chum,33,4/30/2006,45,2006,4
045 APR 29 - MAY 05,Gillnet,Chinook,626,4/29/2007,45,2007,4
045 APR 29 - MAY 05,Troll,Chinook,13027,4/29/2007,45,2007,4
045 APR 27 - MAY 03,Gillnet,Chinook,964,4/27/2008,45,2008,4
045 APR 27 - MAY 03,Troll,Chinook,1930,4/27/2008,45,2008,4
045 APR 26 - MAY 02,Gillnet,Chinook,462,4/26/2009,45,2009,4
045 APR 26 - MAY 02,Troll,Chinook,12849,4/26/2009,45,2009,4
045 APR 25 - MAY 01,Gillnet,Chinook,1650,4/25/2010,45,2010,4
045 APR 25 - MAY 01,Troll,Chinook,18862,4/25/2010,45,2010,4
045 APR 25 - MAY 01,Troll,Chum,47,4/25/2010,45,2010,4
045 APR 25 - MAY 01,Troll,Pink,7,4/25/2010,45,2010,4
045 APR 24 - APR 30,Gillnet,Chinook,854,4/24/2011,45,2011,4
045 APR 24 - APR 30,Troll,Chinook,30270,4/24/2011,45,2011,4
045 APR 24 - APR 30,Gillnet,Chum,17,4/24/2011,45,2011,4
045 APR 24 - APR 30,Troll,Chum,52,4/24/2011,45,2011,4
045 APR 24 - APR 30,Troll,Pink,34,4/24/2011,45,2011,4
045 APR 24 - APR 30,Gillnet,Sockeye,79,4/24/2011,45,2011,4
045 APR 29 - MAY 05,Gillnet,Chinook,1590,4/29/2012,45,2012,4
045 APR 29 - MAY 05,Troll,Chinook,28064,4/29/2012,45,2012,4
045 APR 29 - MAY 05,Troll,Chum,13,4/29/2012,45,2012,4
051 MAY 05 - MAY 11,Gillnet,Chinook,114,5/5/1996,51,1996,5
051 MAY 04 - MAY 10,Gillnet,Chinook,73,5/4/1997,51,1997,5
051 MAY 03 - MAY 09,Gillnet,Chinook,120,5/3/1998,51,1998,5
051 MAY 03 - MAY 09,Troll,Chinook,98,5/3/1998,51,1998,5
051 MAY 03 - MAY 09,Gillnet,Sockeye,204,5/3/1998,51,1998,5
051 MAY 02 - MAY 08,Gillnet,Chinook,24,5/2/1999,51,1999,5
051 APR 30 - MAY 06,Gillnet,Chinook,503,4/30/2000,51,2000,4
051 APR 30 - MAY 06,Troll,Chinook,595,4/30/2000,51,2000,4
051 APR 30 - MAY 06,Gillnet,Steelhead,3,4/30/2000,51,2000,4
051 MAY 06 - MAY 12,Troll,Chinook,13593,5/6/2001,51,2001,5
051 MAY 05 - MAY 11,Troll,Chinook,41057,5/5/2002,51,2002,5
051 MAY 04 - MAY 10,Gillnet,Chinook,1806,5/4/2003,51,2003,5
051 MAY 04 - MAY 10,Troll,Chinook,123575,5/4/2003,51,2003,5
051 MAY 04 - MAY 10,Troll,Chum,1619,5/4/2003,51,2003,5
051 MAY 04 - MAY 10,Troll,Pink,6,5/4/2003,51,2003,5
051 MAY 02 - MAY 08,Troll,Chinook,143249,5/2/2004,51,2004,5
051 MAY 02 - MAY 08,Troll,Chum,224,5/2/2004,51,2004,5
051 MAY 02 - MAY 08,Troll,Pink,9,5/2/2004,51,2004,5
051 MAY 01 - MAY 07,Troll,Chinook,121589,5/1/2005,51,2005,5
051 MAY 01 - MAY 07,Troll,Chum,163,5/1/2005,51,2005,5
051 MAY 01 - MAY 07,Troll,Pink,13,5/1/2005,51,2005,5
051 MAY 07 - MAY 13,Gillnet,Chinook,8816,5/7/2006,51,2006,5
051 MAY 07 - MAY 13,Troll,Chinook,3692,5/7/2006,51,2006,5
051 MAY 07 - MAY 13,Gillnet,Sockeye,157,5/7/2006,51,2006,5
051 MAY 06 - MAY 12,Gillnet,Chinook,2061,5/6/2007,51,2007,5
051 MAY 06 - MAY 12,Troll,Chinook,8457,5/6/2007,51,2007,5
051 MAY 06 - MAY 12,Troll,Pink,2,5/6/2007,51,2007,5
051 MAY 04 - MAY 10,Gillnet,Chinook,2587,5/4/2008,51,2008,5
051 MAY 04 - MAY 10,Troll,Chinook,4517,5/4/2008,51,2008,5
051 MAY 03 - MAY 09,Gillnet,Chinook,4649,5/3/2009,51,2009,5
051 MAY 03 - MAY 09,Troll,Chinook,393,5/3/2009,51,2009,5
051 MAY 02 - MAY 08,Gillnet,Chinook,4256,5/2/2010,51,2010,5
051 MAY 02 - MAY 08,Troll,Chinook,23668,5/2/2010,51,2010,5
051 MAY 02 - MAY 08,Troll,Chum,16,5/2/2010,51,2010,5
051 MAY 02 - MAY 08,Troll,Pink,3,5/2/2010,51,2010,5
051 MAY 01 - MAY 07,Gillnet,Chinook,2964,5/1/2011,51,2011,5
051 MAY 01 - MAY 07,Troll,Chinook,71263,5/1/2011,51,2011,5
051 MAY 01 - MAY 07,Gillnet,Chum,54,5/1/2011,51,2011,5
051 MAY 01 - MAY 07,Troll,Chum,151,5/1/2011,51,2011,5
051 MAY 01 - MAY 07,Gillnet,Sockeye,104,5/1/2011,51,2011,5
051 MAY 06 - MAY 12,Gillnet,Chinook,4770,5/6/2012,51,2012,5
051 MAY 06 - MAY 12,Troll,Chinook,30551,5/6/2012,51,2012,5
051 MAY 06 - MAY 12,Troll,Chum,35,5/6/2012,51,2012,5
051 MAY 06 - MAY 12,Troll,Pink,2,5/6/2012,51,2012,5
052 MAY 12- MAY 18,Gillnet,Chinook,212,5/12/1996,52,1996,5
052 MAY 10 - MAY 16,Gillnet,Chinook,113,5/10/1998,52,1998,5
052 MAY 09 - MAY 15,Gillnet,Chinook,27,5/9/1999,52,1999,5
052 MAY 07 - MAY 13,Gillnet,Chinook,1550,5/7/2000,52,2000,5
052 MAY 07 - MAY 13,Troll,Chinook,5379,5/7/2000,52,2000,5
052 MAY 13 - MAY 19,Troll,Chinook,18137,5/13/2001,52,2001,5
052 MAY 12 - MAY 18,Troll,Chinook,128292,5/12/2002,52,2002,5
052 MAY 11 - MAY 17,Gillnet,Chinook,2104,5/11/2003,52,2003,5
052 MAY 11 - MAY 17,Troll,Chinook,188083,5/11/2003,52,2003,5
052 MAY 11 - MAY 17,Troll,Chum,1506,5/11/2003,52,2003,5
052 MAY 11 - MAY 17,Troll,Pink,16,5/11/2003,52,2003,5
052 MAY 09 - MAY 15,Troll,Chinook,4872,5/9/2004,52,2004,5
052 MAY 09 - MAY 15,Gillnet,Sockeye,802,5/9/2004,52,2004,5
052 MAY 08 - MAY 14,Troll,Chinook,62042,5/8/2005,52,2005,5
052 MAY 08 - MAY 14,Troll,Chum,38,5/8/2005,52,2005,5
052 MAY 08 - MAY 14,Troll,Pink,3,5/8/2005,52,2005,5
052 MAY 14 - MAY 20,Gillnet,Chinook,20027,5/14/2006,52,2006,5
052 MAY 14 - MAY 20,Troll,Chinook,1732,5/14/2006,52,2006,5
052 MAY 13 - MAY 19,Gillnet,Chinook,7019,5/13/2007,52,2007,5
052 MAY 13 - MAY 19,Troll,Chinook,31475,5/13/2007,52,2007,5
052 MAY 11 - MAY 17,Gillnet,Chinook,5755,5/11/2008,52,2008,5
052 MAY 11 - MAY 17,Troll,Chinook,7120,5/11/2008,52,2008,5
052 MAY 10 - MAY 16,Gillnet,Chinook,18228,5/10/2009,52,2009,5
052 MAY 10 - MAY 16,Troll,Chinook,22835,5/10/2009,52,2009,5
052 MAY 10 - MAY 16,Troll,Chum,21,5/10/2009,52,2009,5
052 MAY 10 - MAY 16,Troll,Pink,22,5/10/2009,52,2009,5
052 MAY 09 - MAY 15,Gillnet,Chinook,4140,5/9/2010,52,2010,5
052 MAY 09 - MAY 15,Troll,Chinook,42389,5/9/2010,52,2010,5
052 MAY 09 - MAY 15,Troll,Chum,2,5/9/2010,52,2010,5
052 MAY 08 - MAY 14,Gillnet,Chinook,5374,5/8/2011,52,2011,5
052 MAY 08 - MAY 14,Troll,Chinook,65157,5/8/2011,52,2011,5
052 MAY 08 - MAY 14,Gillnet,Chum,73,5/8/2011,52,2011,5
052 MAY 08 - MAY 14,Troll,Chum,194,5/8/2011,52,2011,5
052 MAY 08 - MAY 14,Gillnet,Sockeye,86,5/8/2011,52,2011,5
052 MAY 13 - MAY 19,Gillnet,Chinook,6195,5/13/2012,52,2012,5
052 MAY 13 - MAY 19,Troll,Chinook,59800,5/13/2012,52,2012,5
052 MAY 13 - MAY 19,Troll,Chum,13,5/13/2012,52,2012,5
052 MAY 13 - MAY 19,Troll,Pink,8,5/13/2012,52,2012,5
053 MAY 19 - MAY 25,Gillnet,Chinook,81,5/19/1996,53,1996,5
053 MAY 18 - MAY 24,Gillnet,Chinook,46,5/18/1997,53,1997,5
053 MAY 17 - MAY 23,Gillnet,Chinook,151,5/17/1998,53,1998,5
053 MAY 17 - MAY 23,Troll,Chinook,3825,5/17/1998,53,1998,5
053 MAY 16 - MAY 22,Gillnet,Chinook,54,5/16/1999,53,1999,5
053 MAY 14 - MAY 20,Gillnet,Chinook,2227,5/14/2000,53,2000,5
053 MAY 14 - MAY 20,Troll,Chinook,21981,5/14/2000,53,2000,5
053 MAY 14 - MAY 20,Troll,Pink,1,5/14/2000,53,2000,5
053 MAY 20 - MAY 26,Troll,Chinook,24056,5/20/2001,53,2001,5
053 MAY 19 - MAY 25,Troll,Chinook,222038,5/19/2002,53,2002,5
053 MAY 19 - MAY 25,Troll,Chum,5,5/19/2002,53,2002,5
053 MAY 18 - MAY 24,Gillnet,Chinook,3595,5/18/2003,53,2003,5
053 MAY 18 - MAY 24,Troll,Chinook,151260,5/18/2003,53,2003,5
053 MAY 18 - MAY 24,Troll,Chum,1317,5/18/2003,53,2003,5
053 MAY 18 - MAY 24,Troll,Pink,24,5/18/2003,53,2003,5
053 MAY 16 - MAY 22,Gillnet,Chinook,195,5/16/2004,53,2004,5
053 MAY 16 - MAY 22,Troll,Chinook,100670,5/16/2004,53,2004,5
053 MAY 16 - MAY 22,Troll,Chum,988,5/16/2004,53,2004,5
053 MAY 16 - MAY 22,Troll,Pink,6,5/16/2004,53,2004,5
053 MAY 15 - MAY 21,Troll,Chinook,5888,5/15/2005,53,2005,5
053 MAY 21 - MAY 27,Gillnet,Chinook,16451,5/21/2006,53,2006,5
053 MAY 20 - MAY 26,Gillnet,Chinook,7363,5/20/2007,53,2007,5
053 MAY 20 - MAY 26,Troll,Chinook,23470,5/20/2007,53,2007,5
053 MAY 20 - MAY 26,Troll,Chum,10,5/20/2007,53,2007,5
053 MAY 20 - MAY 26,Troll,Pink,1,5/20/2007,53,2007,5
053 MAY 20 - MAY 26,Gillnet,Sockeye,3,5/20/2007,53,2007,5
053 MAY 18 - MAY 24,Gillnet,Chinook,7471,5/18/2008,53,2008,5
053 MAY 18 - MAY 24,Troll,Chinook,9362,5/18/2008,53,2008,5
053 MAY 18 - MAY 24,Troll,Pink,2,5/18/2008,53,2008,5
053 MAY 17 - MAY 23,Gillnet,Chinook,15182,5/17/2009,53,2009,5
053 MAY 17 - MAY 23,Troll,Chinook,43319,5/17/2009,53,2009,5
053 MAY 17 - MAY 23,Troll,Chum,4,5/17/2009,53,2009,5
