SPECIES_GROUP,SPECIES,GEAR,MONTH,VALUE,YEAR
ROCKFISH,GREENIES,LONGLINE,Mar-96,397,1996
ROCKFISH,OTHER ROCKFISH,LONGLINE,Mar-96,96237,1996
ROCKFISH,RED SNAPPER (YELLOWEYE),LONGLINE,Mar-96,58498,1996
ROCKFISH,REEDI (YELLOWMOUTH),LONGLINE,Mar-96,2243,1996
ROCKFISH,GREENIES,MIDWATER TRAWL,Mar-96,762834,1996
ROCKFISH,OTHER ROCKFISH,MIDWATER TRAWL,Mar-96,301960,1996
ROCKFISH,REEDI (YELLOWMOUTH),MIDWATER TRAWL,Mar-96,11434,1996
SABLEFISH,SABLEFISH,BOTTOM OTTER TRAWL,Mar-96,4390,1996
SABLEFISH,SABLEFISH,LONGLINE,Mar-96,3993,1996
SABLEFISH,SABLEFISH,MIDWATER TRAWL,Mar-96,4,1996
SABLEFISH,SABLEFISH,TRAP,Mar-96,457766,1996
SALMON,CHINOOK,SALMON GILLNET,Mar-96,15,1996
SALMON,COHO,SALMON GILLNET,Mar-96,13,1996
SALMON,SOCKEYE,SALMON GILLNET,Mar-96,122,1996
SKATE,SKATE,BOTTOM OTTER TRAWL,Mar-96,15300,1996
SKATE,SKATE,LONGLINE,Mar-96,24732,1996
SOLE,BRILL SOLE,BOTTOM OTTER TRAWL,Mar-96,50151,1996
SOLE,DOVER/SLIPPERY SOLE,BOTTOM OTTER TRAWL,Mar-96,201611,1996
SOLE,LEMON SOLE,BOTTOM OTTER TRAWL,Mar-96,23090,1996
SOLE,MIXED SOLE,BOTTOM OTTER TRAWL,Mar-96,1243,1996
SOLE,REX/WITCHES SOLE,BOTTOM OTTER TRAWL,Mar-96,7135,1996
SOLE,ROCK SOLE,BOTTOM OTTER TRAWL,Mar-96,14951,1996
SOLE,MIXED SOLE,LONGLINE,Mar-96,3,1996
SOLE,ROCK SOLE,LONGLINE,Mar-96,93,1996
SOLE,LEMON SOLE,MIDWATER TRAWL,Mar-96,206,1996
SOLE,REX/WITCHES SOLE,MIDWATER TRAWL,Mar-96,1,1996
SOLE,ROCK SOLE,MIDWATER TRAWL,Mar-96,66,1996
STURGEON,STURGEON,BOTTOM OTTER TRAWL,Mar-96,325,1996
STURGEON,STURGEON,LONGLINE,Mar-96,12,1996
TURBOT,TURBOT,BOTTOM OTTER TRAWL,Mar-96,123276,1996
TURBOT,TURBOT,LONGLINE,Mar-96,92,1996
UNSPECIFIED HERRING,UNSPECIFIED HERRING,BOTTOM OTTER TRAWL,Mar-96,23,1996
DOGFISH,DOGFISH,BOTTOM OTTER TRAWL,Apr-96,69667,1996
DOGFISH,DOGFISH,LONGLINE,Apr-96,192150,1996
DOGFISH,DOGFISH,MIDWATER TRAWL,Apr-96,39627,1996
EULACHON,EULACHON,SET NET,Apr-96,26377,1996
FLOUNDER,FLOUNDER,BOTTOM OTTER TRAWL,Apr-96,1469,1996
FLOUNDER,FLOUNDER,LONGLINE,Apr-96,5,1996
HAKE,HAKE,BOTTOM OTTER TRAWL,Apr-96,217288,1996
HAKE,HAKE,MIDWATER TRAWL,Apr-96,1203795,1996
HALIBUT,HALIBUT,LONGLINE,Apr-96,964483,1996
HERRING,ROE HERRING,HERRING DRIFT NET,Apr-96,9074,1996
HERRING,BAIT HERRING,HERRING PURSE SEINE,Apr-96,116,1996
HERRING,POND HERRING,HERRING PURSE SEINE,Apr-96,43,1996
HERRING,SPAWN ON KELP,OTHER GEAR,Apr-96,216887,1996
LINGCOD,LINGCOD,BOTTOM OTTER TRAWL,Apr-96,47982,1996
LINGCOD,LINGCOD,LONGLINE,Apr-96,78656,1996
LINGCOD,LINGCOD,MIDWATER TRAWL,Apr-96,140,1996
OTHER FISH,OTHER FISH,BOTTOM OTTER TRAWL,Apr-96,2449,1996
OTHER FISH,OTHER FISH,LONGLINE,Apr-96,653,1996
OTHER GROUNDFISH,IDIOT,BOTTOM OTTER TRAWL,Apr-96,84323,1996
OTHER GROUNDFISH,SHARK,BOTTOM OTTER TRAWL,Apr-96,88,1996
OTHER GROUNDFISH,UNSPECIFIED GROUNDFISH,BOTTOM OTTER TRAWL,Apr-96,250,1996
OTHER GROUNDFISH,IDIOT,LONGLINE,Apr-96,3006,1996
OTHER GROUNDFISH,SHARK,LONGLINE,Apr-96,27,1996
OTHER GROUNDFISH,UNSPECIFIED GROUNDFISH,LONGLINE,Apr-96,560,1996
PACIFIC COD,PACIFIC COD,BOTTOM OTTER TRAWL,Apr-96,55264,1996
PACIFIC COD,PACIFIC COD,LONGLINE,Apr-96,44,1996
PACIFIC COD,PACIFIC COD,MIDWATER TRAWL,Apr-96,12,1996
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,BOTTOM OTTER TRAWL,Apr-96,916373,1996
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,LONGLINE,Apr-96,94,1996
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,MIDWATER TRAWL,Apr-96,71,1996
POLLOCK,POLLOCK,BOTTOM OTTER TRAWL,Apr-96,171317,1996
POLLOCK,POLLOCK,MIDWATER TRAWL,Apr-96,8975,1996
REDUCTION,REDUCTION,BOTTOM OTTER TRAWL,Apr-96,540,1996
REDUCTION,REDUCTION,LONGLINE,Apr-96,10,1996
ROCKFISH,SILVER PERCH,BEACH SEINE,Apr-96,386,1996
ROCKFISH,GREENIES,BOTTOM OTTER TRAWL,Apr-96,169066,1996
ROCKFISH,OTHER ROCKFISH,BOTTOM OTTER TRAWL,Apr-96,684473,1996
ROCKFISH,RED SNAPPER (YELLOWEYE),BOTTOM OTTER TRAWL,Apr-96,2101,1996
ROCKFISH,REEDI (YELLOWMOUTH),BOTTOM OTTER TRAWL,Apr-96,491187,1996
ROCKFISH,SILVER PERCH,BOTTOM OTTER TRAWL,Apr-96,191,1996
ROCKFISH,GREENIES,LONGLINE,Apr-96,596,1996
ROCKFISH,OTHER ROCKFISH,LONGLINE,Apr-96,139660,1996
ROCKFISH,RED SNAPPER (YELLOWEYE),LONGLINE,Apr-96,99335,1996
ROCKFISH,REEDI (YELLOWMOUTH),LONGLINE,Apr-96,1741,1996
ROCKFISH,GREENIES,MIDWATER TRAWL,Apr-96,121724,1996
ROCKFISH,OTHER ROCKFISH,MIDWATER TRAWL,Apr-96,180051,1996
ROCKFISH,RED SNAPPER (YELLOWEYE),MIDWATER TRAWL,Apr-96,8,1996
ROCKFISH,REEDI (YELLOWMOUTH),MIDWATER TRAWL,Apr-96,30962,1996
SABLEFISH,SABLEFISH,BOTTOM OTTER TRAWL,Apr-96,14786,1996
SABLEFISH,SABLEFISH,LONGLINE,Apr-96,9752,1996
SABLEFISH,SABLEFISH,TRAP,Apr-96,323047,1996
SALMON,CHINOOK,SALMON GILLNET,Apr-96,855,1996
SALMON,CHUM,SALMON GILLNET,Apr-96,5,1996
SALMON,PINK,SALMON GILLNET,Apr-96,11,1996
SALMON,SOCKEYE,SALMON GILLNET,Apr-96,431,1996
SKATE,SKATE,BOTTOM OTTER TRAWL,Apr-96,34229,1996
SKATE,SKATE,LONGLINE,Apr-96,25067,1996
SKATE,SKATE,MIDWATER TRAWL,Apr-96,10,1996
SOLE,BRILL SOLE,BOTTOM OTTER TRAWL,Apr-96,42127,1996
SOLE,BUTTER SOLE,BOTTOM OTTER TRAWL,Apr-96,257,1996
SOLE,DOVER/SLIPPERY SOLE,BOTTOM OTTER TRAWL,Apr-96,414622,1996
SOLE,LEMON SOLE,BOTTOM OTTER TRAWL,Apr-96,45142,1996
SOLE,MIXED SOLE,BOTTOM OTTER TRAWL,Apr-96,8990,1996
SOLE,REX/WITCHES SOLE,BOTTOM OTTER TRAWL,Apr-96,23599,1996
SOLE,ROCK SOLE,BOTTOM OTTER TRAWL,Apr-96,133330,1996
SOLE,BRILL SOLE,LONGLINE,Apr-96,9,1996
SOLE,LEMON SOLE,LONGLINE,Apr-96,5,1996
SOLE,MIXED SOLE,LONGLINE,Apr-96,1,1996
SOLE,ROCK SOLE,LONGLINE,Apr-96,65,1996
SOLE,BRILL SOLE,MIDWATER TRAWL,Apr-96,1,1996
SOLE,LEMON SOLE,MIDWATER TRAWL,Apr-96,35,1996
STURGEON,STURGEON,BOTTOM OTTER TRAWL,Apr-96,5,1996
TURBOT,TURBOT,BOTTOM OTTER TRAWL,Apr-96,293939,1996
TURBOT,TURBOT,LONGLINE,Apr-96,32,1996
TURBOT,TURBOT,MIDWATER TRAWL,Apr-96,6,1996
UNSPECIFIED HERRING,UNSPECIFIED HERRING,BOTTOM OTTER TRAWL,Apr-96,49,1996
DOGFISH,DOGFISH,BOTTOM OTTER TRAWL,May-96,48392,1996
DOGFISH,DOGFISH,LONGLINE,May-96,419892,1996
EULACHON,EULACHON,SET NET,May-96,3089,1996
FLOUNDER,FLOUNDER,BOTTOM OTTER TRAWL,May-96,3077,1996
HAKE,HAKE,BOTTOM OTTER TRAWL,May-96,97418,1996
HAKE,HAKE,MIDWATER TRAWL,May-96,913169,1996
HALIBUT,HALIBUT,LONGLINE,May-96,622073,1996
HERRING,BAIT HERRING,HERRING PURSE SEINE,May-96,1760,1996
HERRING,POND HERRING,HERRING PURSE SEINE,May-96,4564,1996
LINGCOD,LINGCOD,BOTTOM OTTER TRAWL,May-96,135496,1996
LINGCOD,LINGCOD,LONGLINE,May-96,173122,1996
LINGCOD,LINGCOD,MIDWATER TRAWL,May-96,55,1996
OTHER FISH,OTHER FISH,BOTTOM OTTER TRAWL,May-96,3538,1996
OTHER FISH,OTHER FISH,LONGLINE,May-96,2194,1996
OTHER GROUNDFISH,IDIOT,BOTTOM OTTER TRAWL,May-96,308681,1996
OTHER GROUNDFISH,SHARK,BOTTOM OTTER TRAWL,May-96,32,1996
OTHER GROUNDFISH,UNSPECIFIED GROUNDFISH,BOTTOM OTTER TRAWL,May-96,64,1996
OTHER GROUNDFISH,IDIOT,LONGLINE,May-96,2053,1996
OTHER GROUNDFISH,SHARK,LONGLINE,May-96,1965,1996
OTHER GROUNDFISH,UNSPECIFIED GROUNDFISH,LONGLINE,May-96,948,1996
OTHER GROUNDFISH,IDIOT,MIDWATER TRAWL,May-96,11795,1996
PACIFIC COD,PACIFIC COD,BOTTOM OTTER TRAWL,May-96,171912,1996
PACIFIC COD,PACIFIC COD,LONGLINE,May-96,205,1996
PACIFIC COD,PACIFIC COD,MIDWATER TRAWL,May-96,13,1996
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,BOTTOM OTTER TRAWL,May-96,663966,1996
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,LONGLINE,May-96,178,1996
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,MIDWATER TRAWL,May-96,132,1996
POLLOCK,POLLOCK,BOTTOM OTTER TRAWL,May-96,103698,1996
POLLOCK,POLLOCK,MIDWATER TRAWL,May-96,27043,1996
REDUCTION,REDUCTION,BOTTOM OTTER TRAWL,May-96,892,1996
REDUCTION,REDUCTION,LONGLINE,May-96,3,1996
ROCKFISH,SILVER PERCH,BEACH SEINE,May-96,821,1996
ROCKFISH,GREENIES,BOTTOM OTTER TRAWL,May-96,220182,1996
ROCKFISH,OTHER ROCKFISH,BOTTOM OTTER TRAWL,May-96,505271,1996
ROCKFISH,RED SNAPPER (YELLOWEYE),BOTTOM OTTER TRAWL,May-96,3937,1996
ROCKFISH,REEDI (YELLOWMOUTH),BOTTOM OTTER TRAWL,May-96,80419,1996
ROCKFISH,SILVER PERCH,BOTTOM OTTER TRAWL,May-96,1,1996
ROCKFISH,GREENIES,LONGLINE,May-96,815,1996
ROCKFISH,OTHER ROCKFISH,LONGLINE,May-96,189560,1996
ROCKFISH,RED SNAPPER (YELLOWEYE),LONGLINE,May-96,96395,1996
ROCKFISH,REEDI (YELLOWMOUTH),LONGLINE,May-96,5602,1996
ROCKFISH,GREENIES,MIDWATER TRAWL,May-96,44409,1996
ROCKFISH,OTHER ROCKFISH,MIDWATER TRAWL,May-96,20659,1996
ROCKFISH,REEDI (YELLOWMOUTH),MIDWATER TRAWL,May-96,79,1996
SABLEFISH,SABLEFISH,BOTTOM OTTER TRAWL,May-96,34099,1996
SABLEFISH,SABLEFISH,LONGLINE,May-96,13823,1996
SABLEFISH,SABLEFISH,TRAP,May-96,193101,1996
SALMON,CHINOOK,SALMON GILLNET,May-96,612,1996
SALMON,STEELHEAD,SALMON GILLNET,May-96,2,1996
SKATE,SKATE,BOTTOM OTTER TRAWL,May-96,114468,1996
SKATE,SKATE,LONGLINE,May-96,29407,1996
SMELT,SMELT,SET NET,May-96,185,1996
SOLE,BRILL SOLE,BOTTOM OTTER TRAWL,May-96,18703,1996
SOLE,BUTTER SOLE,BOTTOM OTTER TRAWL,May-96,641,1996
SOLE,DOVER/SLIPPERY SOLE,BOTTOM OTTER TRAWL,May-96,352817,1996
SOLE,LEMON SOLE,BOTTOM OTTER TRAWL,May-96,86169,1996
SOLE,MIXED SOLE,BOTTOM OTTER TRAWL,May-96,32121,1996
SOLE,REX/WITCHES SOLE,BOTTOM OTTER TRAWL,May-96,36321,1996
SOLE,ROCK SOLE,BOTTOM OTTER TRAWL,May-96,250812,1996
SOLE,BRILL SOLE,LONGLINE,May-96,13,1996
SOLE,DOVER/SLIPPERY SOLE,LONGLINE,May-96,2,1996
SOLE,LEMON SOLE,LONGLINE,May-96,1,1996
SOLE,ROCK SOLE,LONGLINE,May-96,65,1996
SOLE,BRILL SOLE,MIDWATER TRAWL,May-96,1,1996
SOLE,DOVER/SLIPPERY SOLE,MIDWATER TRAWL,May-96,81,1996
SOLE,LEMON SOLE,MIDWATER TRAWL,May-96,1,1996
STURGEON,STURGEON,BOTTOM OTTER TRAWL,May-96,142,1996
TURBOT,TURBOT,BOTTOM OTTER TRAWL,May-96,1548834,1996
TURBOT,TURBOT,LONGLINE,May-96,137,1996
TURBOT,TURBOT,MIDWATER TRAWL,May-96,1238,1996
DOGFISH,DOGFISH,BOTTOM OTTER TRAWL,Jun-96,40550,1996
DOGFISH,DOGFISH,LONGLINE,Jun-96,292910,1996
DOGFISH,DOGFISH,MIDWATER TRAWL,Jun-96,1710,1996
FLOUNDER,FLOUNDER,BOTTOM OTTER TRAWL,Jun-96,733,1996
HAKE,HAKE,BOTTOM OTTER TRAWL,Jun-96,229782,1996
HAKE,HAKE,MIDWATER TRAWL,Jun-96,2138702,1996
HALIBUT,HALIBUT,LONGLINE,Jun-96,684755,1996
HERRING,BAIT HERRING,HERRING PURSE SEINE,Jun-96,1336,1996
HERRING,POND HERRING,HERRING PURSE SEINE,Jun-96,4912,1996
LINGCOD,LINGCOD,BOTTOM OTTER TRAWL,Jun-96,142016,1996
LINGCOD,LINGCOD,LONGLINE,Jun-96,188303,1996
LINGCOD,LINGCOD,MIDWATER TRAWL,Jun-96,275,1996
MACKEREL,MACKEREL,BOTTOM OTTER TRAWL,Jun-96,202,1996
OTHER FISH,OTHER FISH,BOTTOM OTTER TRAWL,Jun-96,1351,1996
OTHER FISH,OTHER FISH,LONGLINE,Jun-96,1886,1996
OTHER GROUNDFISH,IDIOT,BOTTOM OTTER TRAWL,Jun-96,88558,1996
OTHER GROUNDFISH,SHARK,BOTTOM OTTER TRAWL,Jun-96,45,1996
OTHER GROUNDFISH,IDIOT,LONGLINE,Jun-96,2923,1996
OTHER GROUNDFISH,SHARK,LONGLINE,Jun-96,510,1996
OTHER GROUNDFISH,UNSPECIFIED GROUNDFISH,LONGLINE,Jun-96,1261,1996
PACIFIC COD,PACIFIC COD,BOTTOM OTTER TRAWL,Jun-96,72958,1996
PACIFIC COD,PACIFIC COD,LONGLINE,Jun-96,47,1996
PACIFIC COD,PACIFIC COD,MIDWATER TRAWL,Jun-96,168,1996
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,BOTTOM OTTER TRAWL,Jun-96,1046307,1996
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,LONGLINE,Jun-96,224,1996
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,MIDWATER TRAWL,Jun-96,86864,1996
POLLOCK,POLLOCK,BOTTOM OTTER TRAWL,Jun-96,53363,1996
POLLOCK,POLLOCK,MIDWATER TRAWL,Jun-96,2657,1996
REDUCTION,REDUCTION,BOTTOM OTTER TRAWL,Jun-96,764,1996
REDUCTION,REDUCTION,LONGLINE,Jun-96,10,1996
ROCKFISH,SILVER PERCH,BEACH SEINE,Jun-96,932,1996
ROCKFISH,GREENIES,BOTTOM OTTER TRAWL,Jun-96,294963,1996
ROCKFISH,OTHER ROCKFISH,BOTTOM OTTER TRAWL,Jun-96,303972,1996
ROCKFISH,RED SNAPPER (YELLOWEYE),BOTTOM OTTER TRAWL,Jun-96,2938,1996
ROCKFISH,REEDI (YELLOWMOUTH),BOTTOM OTTER TRAWL,Jun-96,116014,1996
ROCKFISH,GREENIES,LONGLINE,Jun-96,1330,1996
ROCKFISH,OTHER ROCKFISH,LONGLINE,Jun-96,271239,1996
ROCKFISH,RED SNAPPER (YELLOWEYE),LONGLINE,Jun-96,117677,1996
ROCKFISH,REEDI (YELLOWMOUTH),LONGLINE,Jun-96,1730,1996
ROCKFISH,GREENIES,MIDWATER TRAWL,Jun-96,373260,1996
ROCKFISH,OTHER ROCKFISH,MIDWATER TRAWL,Jun-96,141687,1996
ROCKFISH,RED SNAPPER (YELLOWEYE),MIDWATER TRAWL,Jun-96,4,1996
ROCKFISH,REEDI (YELLOWMOUTH),MIDWATER TRAWL,Jun-96,5981,1996
ROCKFISH,OTHER ROCKFISH,SALMON GILLNET,Jun-96,4,1996
SABLEFISH,SABLEFISH,BOTTOM OTTER TRAWL,Jun-96,10557,1996
SABLEFISH,SABLEFISH,LONGLINE,Jun-96,23238,1996
SABLEFISH,SABLEFISH,MIDWATER TRAWL,Jun-96,3,1996
SABLEFISH,SABLEFISH,TRAP,Jun-96,180812,1996
SALMON,CHINOOK,SALMON GILLNET,Jun-96,208645,1996
SALMON,CHUM,SALMON GILLNET,Jun-96,504858,1996
SALMON,COHO,SALMON GILLNET,Jun-96,64341,1996
SALMON,PINK,SALMON GILLNET,Jun-96,109554,1996
SALMON,SOCKEYE,SALMON GILLNET,Jun-96,1191771,1996
SALMON,STEELHEAD,SALMON GILLNET,Jun-96,208,1996
SALMON,SOCKEYE,SALMON SEINE,Jun-96,2532,1996
SKATE,SKATE,BOTTOM OTTER TRAWL,Jun-96,99163,1996
SKATE,SKATE,LONGLINE,Jun-96,39050,1996
