WEEK,GEAR,SPECIES,VALUE,WEEKSTART,DFOWEEKNUM,YEAR,MONTH,
042 Apr 05 - Apr 11,Gillnet,Chinook,95,4/5/2009,42,2009,4,
042 APR 04 - APR 10,Gillnet,Chinook,362,4/4/2010,42,2010,4,
042 APR 03 - APR 09,Gillnet,Chinook,380,4/3/2011,42,2011,4,
042 APR 02 - APR 08,Troll,Chinook,4394,4/2/2000,42,2000,4,
042 APR 08 - APR 14,Troll,Chinook,21377,4/8/2001,42,2001,4,
042 APR 07 - APR 13,Troll,Chinook,8440,4/7/2002,42,2002,4,
042 APR 06 - APR 12,Troll,Chinook,37224,4/6/2003,42,2003,4,
042 APR 04 - APR 10,Troll,Chinook,539888,4/4/2004,42,2004,4,
042 APR 03 - APR 09,Troll,Chinook,144926,4/3/2005,42,2005,4,
042 APR 09 - APR 15,Troll,Chinook,337959,4/9/2006,42,2006,4,
042 APR 08 - APR 14,Troll,Chinook,24115,4/8/2007,42,2007,4,
042 APR 03 - APR 09,Gillnet,Chum,114,4/3/2011,42,2011,4,
042 APR 04 - APR 10,Troll,Chum,662,4/4/2004,42,2004,4,
042 APR 09 - APR 15,Troll,Chum,4,4/9/2006,42,2006,4,
042 APR 03 - APR 09,Gillnet,Sockeye,234,4/3/2011,42,2011,4,
043 APR 14 - APR 20,Gillnet,Chinook,2107,4/14/1996,43,1996,4,
043 APR 13 - APR 19,Gillnet,Chinook,210,4/13/1997,43,1997,4,
043 APR 11 - APR 17,Gillnet,Chinook,295,4/11/1999,43,1999,4,
043 Apr 12 - Apr 18,Gillnet,Chinook,186,4/12/2009,43,2009,4,
043 APR 11 - APR 17,Gillnet,Chinook,94,4/11/2010,43,2010,4,
043 APR 10 - APR 16,Gillnet,Chinook,22,4/10/2011,43,2011,4,
043 APR 09 - APR 15,Troll,Chinook,22216,4/9/2000,43,2000,4,
043 APR 15 - APR 21,Troll,Chinook,38619,4/15/2001,43,2001,4,
043 APR 14 - APR 20,Troll,Chinook,44503,4/14/2002,43,2002,4,
043 APR 13 - APR 19,Troll,Chinook,139617,4/13/2003,43,2003,4,
043 APR 11 - APR 17,Troll,Chinook,229725,4/11/2004,43,2004,4,
043 APR 10 - APR 16,Troll,Chinook,310210,4/10/2005,43,2005,4,
043 APR 16 - APR 22,Troll,Chinook,53558,4/16/2006,43,2006,4,
043 APR 15 - APR 21,Troll,Chinook,91725,4/15/2007,43,2007,4,
043 APR 15 - APR 21,Troll,Chinook,1541,4/15/2012,43,2012,4,
043 APR 14 - APR 20,Gillnet,Chum,4,4/14/1996,43,1996,4,
043 APR 10 - APR 16,Gillnet,Chum,202,4/10/2011,43,2011,4,
043 APR 13 - APR 19,Troll,Chum,46,4/13/2003,43,2003,4,
043 APR 11 - APR 17,Troll,Chum,40,4/11/2004,43,2004,4,
043 APR 10 - APR 16,Troll,Chum,11,4/10/2005,43,2005,4,
043 APR 14 - APR 20,Gillnet,Pink,7,4/14/1996,43,1996,4,
043 APR 14 - APR 20,Gillnet,Sockeye,2320,4/14/1996,43,1996,4,
043 APR 10 - APR 16,Gillnet,Sockeye,471,4/10/2011,43,2011,4,
044 APR 21 - APR 27,Gillnet,Chinook,168,4/21/1996,44,1996,4,
044 APR 20 - APR 26,Gillnet,Chinook,168,4/20/1997,44,1997,4,
044 APR 18 - APR 24,Gillnet,Chinook,208,4/18/1999,44,1999,4,
044 Apr 19 - Apr 25,Gillnet,Chinook,78,4/19/2009,44,2009,4,
044 APR 17 - APR 23,Gillnet,Chinook,209,4/17/2011,44,2011,4,
044 APR 16 - APR 22,Troll,Chinook,2004,4/16/2000,44,2000,4,
044 APR 22 - APR 28,Troll,Chinook,15870,4/22/2001,44,2001,4,
044 APR 21 - APR 26,Troll,Chinook,300066,4/21/2002,44,2002,4,
044 APR 20 - APR 26,Troll,Chinook,522836,4/20/2003,44,2003,4,
044 APR 18 - APR 24,Troll,Chinook,958697,4/18/2004,44,2004,4,
044 APR 17 - APR 23,Troll,Chinook,585014,4/17/2005,44,2005,4,
044 APR 23 - APR 29,Troll,Chinook,423846,4/23/2006,44,2006,4,
044 APR 22 - APR 28,Troll,Chinook,48839,4/22/2007,44,2007,4,
044 APR 20 - APR 26,Troll,Chinook,69085,4/20/2008,44,2008,4,
044 Apr 19 - Apr 25,Troll,Chinook,96357,4/19/2009,44,2009,4,
044 APR 18 - APR 24,Troll,Chinook,118865,4/18/2010,44,2010,4,
044 APR 17 - APR 23,Troll,Chinook,105146,4/17/2011,44,2011,4,
044 APR 22 - APR 28,Troll,Chinook,546315,4/22/2012,44,2012,4,
044 APR 20 - APR 26,Troll,Chum,1135,4/20/2003,44,2003,4,
044 APR 18 - APR 24,Troll,Chum,2704,4/18/2004,44,2004,4,
044 APR 17 - APR 23,Troll,Chum,27,4/17/2005,44,2005,4,
044 APR 23 - APR 29,Troll,Chum,26,4/23/2006,44,2006,4,
044 APR 18 - APR 24,Troll,Chum,19,4/18/2010,44,2010,4,
044 APR 17 - APR 23,Troll,Chum,40,4/17/2011,44,2011,4,
044 APR 22 - APR 28,Troll,Chum,145,4/22/2012,44,2012,4,
044 APR 20 - APR 26,Troll,Pink,5,4/20/2003,44,2003,4,
044 APR 18 - APR 24,Troll,Pink,7,4/18/2004,44,2004,4,
044 APR 17 - APR 23,Troll,Pink,6,4/17/2011,44,2011,4,
044 APR 22 - APR 28,Troll,Pink,2,4/22/2012,44,2012,4,
045 APR 28 - MAY 04,Gillnet,Chinook,418,4/28/1996,45,1996,4,
045 APR 27 - MAY 03,Gillnet,Chinook,12,4/27/1997,45,1997,4,
045 APR 26 - MAY 02,Gillnet,Chinook,454,4/26/1998,45,1998,4,
045 APR 25 - MAY 01,Gillnet,Chinook,121,4/25/1999,45,1999,4,
045 APR 27 - MAY 03,Gillnet,Chinook,3985,4/27/2003,45,2003,4,
045 APR 30 - MAY 06,Gillnet,Chinook,19071,4/30/2006,45,2006,4,
045 APR 29 - MAY 05,Gillnet,Chinook,3766,4/29/2007,45,2007,4,
045 APR 27 - MAY 03,Gillnet,Chinook,7062,4/27/2008,45,2008,4,
045 APR 26 - MAY 02,Gillnet,Chinook,3444,4/26/2009,45,2009,4,
045 APR 25 - MAY 01,Gillnet,Chinook,10245,4/25/2010,45,2010,4,
045 APR 24 - APR 30,Gillnet,Chinook,5356,4/24/2011,45,2011,4,
045 APR 29 - MAY 05,Gillnet,Chinook,11921,4/29/2012,45,2012,4,
045 APR 26 - MAY 02,Troll,Chinook,2989,4/26/1998,45,1998,4,
045 APR 23 - APR 29,Troll,Chinook,1636,4/23/2000,45,2000,4,
045 APR 29 - MAY 05,Troll,Chinook,100741,4/29/2001,45,2001,4,
045 APR 28 - MAY 04,Troll,Chinook,329524,4/28/2002,45,2002,4,
045 APR 27 - MAY 03,Troll,Chinook,452740,4/27/2003,45,2003,4,
045 APR 25 - MAY 01,Troll,Chinook,694320,4/25/2004,45,2004,4,
045 APR 24 - APR 30,Troll,Chinook,484766,4/24/2005,45,2005,4,
045 APR 30 - MAY 06,Troll,Chinook,396972,4/30/2006,45,2006,4,
045 APR 29 - MAY 05,Troll,Chinook,123524,4/29/2007,45,2007,4,
045 APR 27 - MAY 03,Troll,Chinook,24803,4/27/2008,45,2008,4,
045 APR 26 - MAY 02,Troll,Chinook,166554,4/26/2009,45,2009,4,
045 APR 25 - MAY 01,Troll,Chinook,172306,4/25/2010,45,2010,4,
045 APR 24 - APR 30,Troll,Chinook,301342,4/24/2011,45,2011,4,
045 APR 29 - MAY 05,Troll,Chinook,284364,4/29/2012,45,2012,4,
045 APR 24 - APR 30,Gillnet,Chum,29,4/24/2011,45,2011,4,
045 APR 27 - MAY 03,Troll,Chum,1695,4/27/2003,45,2003,4,
045 APR 25 - MAY 01,Troll,Chum,430,4/25/2004,45,2004,4,
045 APR 24 - APR 30,Troll,Chum,185,4/24/2005,45,2005,4,
045 APR 30 - MAY 06,Troll,Chum,53,4/30/2006,45,2006,4,
045 APR 25 - MAY 01,Troll,Chum,85,4/25/2010,45,2010,4,
045 APR 24 - APR 30,Troll,Chum,77,4/24/2011,45,2011,4,
045 APR 29 - MAY 05,Troll,Chum,22,4/29/2012,45,2012,4,
045 APR 27 - MAY 03,Troll,Pink,42,4/27/2003,45,2003,4,
045 APR 25 - MAY 01,Troll,Pink,6,4/25/2004,45,2004,4,
045 APR 25 - MAY 01,Troll,Pink,10,4/25/2010,45,2010,4,
045 APR 24 - APR 30,Troll,Pink,25,4/24/2011,45,2011,4,
045 APR 24 - APR 30,Gillnet,Sockeye,327,4/24/2011,45,2011,4,
051 MAY 05 - MAY 11,Gillnet,Chinook,346,5/5/1996,51,1996,5,
051 MAY 04 - MAY 10,Gillnet,Chinook,207,5/4/1997,51,1997,5,
051 MAY 03 - MAY 09,Gillnet,Chinook,315,5/3/1998,51,1998,5,
051 MAY 02 - MAY 08,Gillnet,Chinook,95,5/2/1999,51,1999,5,
051 APR 30 - MAY 06,Gillnet,Chinook,2571,4/30/2000,51,2000,4,
051 MAY 04 - MAY 10,Gillnet,Chinook,6444,5/4/2003,51,2003,5,
051 MAY 07 - MAY 13,Gillnet,Chinook,51719,5/7/2006,51,2006,5,
051 MAY 06 - MAY 12,Gillnet,Chinook,11787,5/6/2007,51,2007,5,
051 MAY 04 - MAY 10,Gillnet,Chinook,17722,5/4/2008,51,2008,5,
051 MAY 03 - MAY 09,Gillnet,Chinook,34425,5/3/2009,51,2009,5,
051 MAY 02 - MAY 08,Gillnet,Chinook,26173,5/2/2010,51,2010,5,
051 MAY 01 - MAY 07,Gillnet,Chinook,18817,5/1/2011,51,2011,5,
051 MAY 06 - MAY 12,Gillnet,Chinook,39308,5/6/2012,51,2012,5,
051 MAY 03 - MAY 09,Troll,Chinook,624,5/3/1998,51,1998,5,
051 APR 30 - MAY 06,Troll,Chinook,3656,4/30/2000,51,2000,4,
051 MAY 06 - MAY 12,Troll,Chinook,70547,5/6/2001,51,2001,5,
051 MAY 05 - MAY 11,Troll,Chinook,214987,5/5/2002,51,2002,5,
051 MAY 04 - MAY 10,Troll,Chinook,496465,5/4/2003,51,2003,5,
051 MAY 02 - MAY 08,Troll,Chinook,590416,5/2/2004,51,2004,5,
051 MAY 01 - MAY 07,Troll,Chinook,771297,5/1/2005,51,2005,5,
051 MAY 07 - MAY 13,Troll,Chinook,35168,5/7/2006,51,2006,5,
051 MAY 06 - MAY 12,Troll,Chinook,79156,5/6/2007,51,2007,5,
051 MAY 04 - MAY 10,Troll,Chinook,56183,5/4/2008,51,2008,5,
051 MAY 03 - MAY 09,Troll,Chinook,4745,5/3/2009,51,2009,5,
051 MAY 02 - MAY 08,Troll,Chinook,193329,5/2/2010,51,2010,5,
051 MAY 01 - MAY 07,Troll,Chinook,762679,5/1/2011,51,2011,5,
051 MAY 06 - MAY 12,Troll,Chinook,285879,5/6/2012,51,2012,5,
051 MAY 01 - MAY 07,Gillnet,Chum,91,5/1/2011,51,2011,5,
051 MAY 04 - MAY 10,Troll,Chum,1574,5/4/2003,51,2003,5,
051 MAY 02 - MAY 08,Troll,Chum,260,5/2/2004,51,2004,5,
051 MAY 01 - MAY 07,Troll,Chum,215,5/1/2005,51,2005,5,
051 MAY 02 - MAY 08,Troll,Chum,25,5/2/2010,51,2010,5,
051 MAY 01 - MAY 07,Troll,Chum,213,5/1/2011,51,2011,5,
051 MAY 06 - MAY 12,Troll,Chum,62,5/6/2012,51,2012,5,
051 MAY 04 - MAY 10,Troll,Pink,4,5/4/2003,51,2003,5,
051 MAY 02 - MAY 08,Troll,Pink,8,5/2/2004,51,2004,5,
051 MAY 01 - MAY 07,Troll,Pink,12,5/1/2005,51,2005,5,
051 MAY 06 - MAY 12,Troll,Pink,2,5/6/2007,51,2007,5,
051 MAY 02 - MAY 08,Troll,Pink,1,5/2/2010,51,2010,5,
051 MAY 06 - MAY 12,Troll,Pink,3,5/6/2012,51,2012,5,
051 MAY 03 - MAY 09,Gillnet,Sockeye,1188,5/3/1998,51,1998,5,
051 MAY 07 - MAY 13,Gillnet,Sockeye,462,5/7/2006,51,2006,5,
051 MAY 01 - MAY 07,Gillnet,Sockeye,429,5/1/2011,51,2011,5,
051 APR 30 - MAY 06,Gillnet,Steelhead,9,4/30/2000,51,2000,4,
052 MAY 12- MAY 18,Gillnet,Chinook,594,5/12/1996,52,1996,5,
052 MAY 10 - MAY 16,Gillnet,Chinook,286,5/10/1998,52,1998,5,
052 MAY 09 - MAY 15,Gillnet,Chinook,87,5/9/1999,52,1999,5,
052 MAY 07 - MAY 13,Gillnet,Chinook,8078,5/7/2000,52,2000,5,
052 MAY 11 - MAY 17,Gillnet,Chinook,7512,5/11/2003,52,2003,5,
052 MAY 14 - MAY 20,Gillnet,Chinook,108134,5/14/2006,52,2006,5,
052 MAY 13 - MAY 19,Gillnet,Chinook,35753,5/13/2007,52,2007,5,
052 MAY 11 - MAY 17,Gillnet,Chinook,37660,5/11/2008,52,2008,5,
052 MAY 10 - MAY 16,Gillnet,Chinook,135312,5/10/2009,52,2009,5,
052 MAY 09 - MAY 15,Gillnet,Chinook,23554,5/9/2010,52,2010,5,
052 MAY 08 - MAY 14,Gillnet,Chinook,32556,5/8/2011,52,2011,5,
052 MAY 13 - MAY 19,Gillnet,Chinook,46735,5/13/2012,52,2012,5,
052 MAY 07 - MAY 13,Troll,Chinook,34208,5/7/2000,52,2000,5,
052 MAY 13 - MAY 19,Troll,Chinook,97181,5/13/2001,52,2001,5,
052 MAY 12 - MAY 18,Troll,Chinook,631058,5/12/2002,52,2002,5,
052 MAY 11 - MAY 17,Troll,Chinook,691253,5/11/2003,52,2003,5,
052 MAY 09 - MAY 15,Troll,Chinook,27214,5/9/2004,52,2004,5,
052 MAY 08 - MAY 14,Troll,Chinook,344061,5/8/2005,52,2005,5,
052 MAY 14 - MAY 20,Troll,Chinook,24300,5/14/2006,52,2006,5,
052 MAY 13 - MAY 19,Troll,Chinook,305860,5/13/2007,52,2007,5,
052 MAY 11 - MAY 17,Troll,Chinook,83025,5/11/2008,52,2008,5,
052 MAY 10 - MAY 16,Troll,Chinook,306692,5/10/2009,52,2009,5,
052 MAY 09 - MAY 15,Troll,Chinook,334585,5/9/2010,52,2010,5,
052 MAY 08 - MAY 14,Troll,Chinook,630971,5/8/2011,52,2011,5,
052 MAY 13 - MAY 19,Troll,Chinook,591199,5/13/2012,52,2012,5,
052 MAY 08 - MAY 14,Gillnet,Chum,123,5/8/2011,52,2011,5,
052 MAY 11 - MAY 17,Troll,Chum,1433,5/11/2003,52,2003,5,
052 MAY 08 - MAY 14,Troll,Chum,44,5/8/2005,52,2005,5,
052 MAY 10 - MAY 16,Troll,Chum,27,5/10/2009,52,2009,5,
052 MAY 09 - MAY 15,Troll,Chum,2,5/9/2010,52,2010,5,
052 MAY 08 - MAY 14,Troll,Chum,281,5/8/2011,52,2011,5,
052 MAY 13 - MAY 19,Troll,Chum,21,5/13/2012,52,2012,5,
052 MAY 11 - MAY 17,Troll,Pink,16,5/11/2003,52,2003,5,
052 MAY 08 - MAY 14,Troll,Pink,2,5/8/2005,52,2005,5,
052 MAY 10 - MAY 16,Troll,Pink,29,5/10/2009,52,2009,5,
052 MAY 13 - MAY 19,Troll,Pink,7,5/13/2012,52,2012,5,
052 MAY 09 - MAY 15,Gillnet,Sockeye,4041,5/9/2004,52,2004,5,
052 MAY 08 - MAY 14,Gillnet,Sockeye,353,5/8/2011,52,2011,5,
053 MAY 19 - MAY 25,Gillnet,Chinook,255,5/19/1996,53,1996,5,
053 MAY 18 - MAY 24,Gillnet,Chinook,134,5/18/1997,53,1997,5,
053 MAY 17 - MAY 23,Gillnet,Chinook,398,5/17/1998,53,1998,5,
053 MAY 16 - MAY 22,Gillnet,Chinook,207,5/16/1999,53,1999,5,
053 MAY 14 - MAY 20,Gillnet,Chinook,11421,5/14/2000,53,2000,5,
053 MAY 18 - MAY 24,Gillnet,Chinook,12005,5/18/2003,53,2003,5,
053 MAY 16 - MAY 22,Gillnet,Chinook,753,5/16/2004,53,2004,5,
053 MAY 21 - MAY 27,Gillnet,Chinook,89618,5/21/2006,53,2006,5,
053 MAY 20 - MAY 26,Gillnet,Chinook,38369,5/20/2007,53,2007,5,
053 MAY 18 - MAY 24,Gillnet,Chinook,47537,5/18/2008,53,2008,5,
053 MAY 17 - MAY 23,Gillnet,Chinook,108763,5/17/2009,53,2009,5,
053 MAY 16 - MAY 22,Gillnet,Chinook,40358,5/16/2010,53,2010,5,
053 MAY 15 - MAY 21,Gillnet,Chinook,51980,5/15/2011,53,2011,5,
053 MAY 20 - MAY 26,Gillnet,Chinook,29368,5/20/2012,53,2012,5,
053 MAY 17 - MAY 23,Troll,Chinook,20385,5/17/1998,53,1998,5,
053 MAY 14 - MAY 20,Troll,Chinook,152320,5/14/2000,53,2000,5,
053 MAY 20 - MAY 26,Troll,Chinook,119481,5/20/2001,53,2001,5,
053 MAY 19 - MAY 25,Troll,Chinook,975389,5/19/2002,53,2002,5,
053 MAY 18 - MAY 24,Troll,Chinook,558783,5/18/2003,53,2003,5,
053 MAY 16 - MAY 22,Troll,Chinook,565778,5/16/2004,53,2004,5,
053 MAY 15 - MAY 21,Troll,Chinook,37961,5/15/2005,53,2005,5,
053 MAY 20 - MAY 26,Troll,Chinook,219841,5/20/2007,53,2007,5,
